Title,Company,DeadlineHoSo,Salary,Quantity,Hthuc,CapBac,GioiTinh,KinhNghiem,DiaChi,Skill,JobData
Business Analyst,Asilla Việt Nam," Hạn nộp hồ sơ: 31/01/2023
","
Tới 1,400 USD
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,"Cầu Giấy,Hà Nội",,"- Collaborate with Product Manager to understand the demands from the market and draft tasks based on it
,-	Collaborate with development team members to understand technical solutions
,-	Make detailed requirements, propose suitable solutions based on user perspective understanding.
,-	Keep up to date on business domain knowledge of the company
,-	Keep up to date on the latest applications of IT and AI technologies,-	At least 3 years of working experience in BA position,-	Product and market mindset
,-	Need strong analytical skills to create reports and documents
,-	The ability to manage multiple projects from beginning to completion.
,- Good written and verbal communication skills for working with all stakeholders.
,- The ability to understand the team’s challenges and develop solutions.
,- Must be familiar with various types of project management (and business analysis) software. Proficiency in spreadsheets is also important.
,- Must be familiar with wireframe design tools (like Figma)
,-	Business English,- Competitive salary: upto $1800
,- 14 months salary a year
,-	Opportunity to receive bonus shares.
,-	To fully participate in the regimes prescribed by the State such as: social insurance, health insurance, unemployment insurance, annual leave.
,-	Be trained and work directly with experienced experts in the field of AI.
,-	Have the opportunity to do challenging things, develop your full potential
,-	Participate in team building sessions, company travel, have fun monthly with the Company;
,-	Enjoy full benefits (Happiness, birthday...);
,-	Young, comfortable working environment, dynamic startup spirit.,
"
Unity Developer,Công ty Cổ phần Skynet Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
8-30 triệu
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Nam Từ Liêm","C#,C++,Unity","- Xây dựng và phát triển các dự án Game mobile trên nền tảng Unity,- Phối hợp với các thành viên khác trong team (Game Designer, Artist …) để xây dựng ý tưởng, đưa ra các giải pháp kỹ thuật để tạo được sản phẩm tốt nhất,- Xây dựng và duy trì code hiệu quả, có thể tái sử dụng,- Nâng cấp và tối ưu các sản phẩm của công ty.,- Có kinh nghiệm lập trình Unity ít nhất 6 tháng trở lên, có sản phẩm demo,- Yêu thích làm Game,- Thành thạo Unity,- Có tư duy lập trình và tư duy hệ thống tốt,- Chủ động trong công việc, có tinh thần trách nhiệm cao, thái độ cầu tiến ham học hỏi., ,- Mức lương thỏa thuận hấp dẫn, tương xứng với năng lực và kinh nghiệm làm việc,- Thử việc 2 tháng, nhận 100% lương,- Thưởng không giới hạn tùy theo doanh thu sản phẩm và mức độ đóng góp trong dự án,- Môi trường làm việc trẻ trung, năng động, sáng tạo và nhiệt huyết,- Review lương 2 lần/năm hoặc tùy theo mức độ phát triển của bản thân,- Chế độ đầy đủ theo luật BHXH, nghỉ lễ Tết, 12 ngày phép/năm, lương thưởng cuối năm.,- Văn phòng rộng rãi, tiện nghi đảm bảo điều kiện làm việc tốt nhất.,- Du lịch thường niên, được tham gia vào các hoạt động team building cực kỳ bổ ích.,- Tặng quà vào các dịp sinh nhật, lễ Tết.,- Tham gia hoạt động thể thao hàng tuần cùng công ty."
IT Support,CÔNG TY TNHH MICROTEC VIỆT NAM," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",2 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hà Nội,Hoàn Kiếm","IT Helpdesk,Windows Server","- Tham gia các dự án triển khai phần mềm hiện đại, tiên tiến nhất hiện nay cho hệ thống ATM/KIOS/digital banking của các tổ chức tài chính/ ngân hàng trong và ngoài nước. ,- Xây dựng tiến độ thực hiện dự án, giám sát và phối hợp với các nhóm liên quan để đảm bảo tiến độ và chất lượng của dự án. ,- Đào tạo, chuyển giao các giải pháp, ứng dụng và thiết bị do công ty cung cấp cho khách hàng. ,- Xử lý, khắc phục sự cố cho các ứng dụng và thiết bị tại máy ATM.,-  Tốt nghiệp đại học ngành Công nghệ thông tin, tin học: chuyên ngành phần mềm, hệ thống thông tin hoặc hệ thống mạng,-  Có kiến thức và kinh nghiệm cài đặt cấu hình xử lý trên các hệ điều hành: Windows, Window server. ,- Có hiểu biết cơ bản về hệ thống mạng, hạ tầng máy tính. Khả năng đọc, hiểu các lỗi từ log và system event log trong window.,- Có kinh nghiệm về cài đặt cơ sở dữ liệu: Oracle, Microsoft SQL Server,... là một lợi thế,- Trình độ tiếng Anh: có khả năng đọc hiểu tài liệu chuyên ngành CNTT (bắt buộc), và giao tiếp tốt là lợi thế.,- Ưu tiên ứng viên có kinh nghiệm ở vị trí IT helpdesk. ,- Nhận các sinh viên mới tốt nghiệp có kiến thức và kỹ năng tốt.,- Mức lương cạnh tranh và hấp dẫn dựa trên năng lực và kinh nghiệm; ,- Cơ chế xét duyệt tăng lương hàng năm dựa trên điểm KPI và thưởng 2 lần / năm; ,- Làm việc trong môi trường chuyên nghiệp, có cơ hội phát triển bản thân trong lĩnh vực tài chính ngân hàng; ,- Các chế độ khác: ,• Bảo hiểm toàn diện (BH tai nạn và BH sức khỏe Liberty) ,• Team building hàng năm ,• Nghỉ phép 14 ngày / năm, nghỉ hè,• Nhiều hoạt động tập thể hấp dẫn cho nhân viên và gia đình"
Nhân Sự,Công Ty Cổ Phần Công Nghệ VMO Holdings," Hạn nộp hồ sơ: 31/01/2023
","
Trên 15 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,Hà Nội,,"- Trực tiếp thực hiện tính lương cho CBNV công ty,- Tổng hợp báo cáo và phân tích các dữ liệu về tiền lương, thưởng, chính sách và đưa ra các đánh giá.,- Thực hiện các công việc chính sách Công ty: BHXH, phúc lợi, ...,- Phối hợp với phòng Tài chính Kế toán quản lý chỉ số quỹ lương.,- Quản lý hồ sơ, quan hệ lao động,- Theo dõi tăng giảm bảo hiểm xã hội của công ty,• Tốt nghiệp Đại học các chuyên ngành: Quản trị nhân lực, Quản trị kinh doanh, Luật hoặc các ngành liên quan.,• Có tư duy hệ thống, logic và tổng hợp và phân tích số liệu.,• Cẩn thận, tỉ mỉ, chi tiết, có trách nhiệm.,• Kỹ năng sử dụng Excel tốt.,• Kỹ năng cập nhật và áp dụng luật lao động.,• Ứng viên có kiến thức tốt về mảng nhân sự, C&B,• Am hiểu về luật lao động, thuế TNCN…,• Review lương từ 1-2 lần/năm. Chính sách thưởng tháng lương 13. Thưởng lễ Tết, 2/9, sinh nhật công ty,…,• Chế độ du lịch nghỉ mát (gói 5 triệu/ người), teambuilding (2 -3 lần/năm).,• Tham gia BHXH đầy đủ, thm khám sức khỏe định kỳ tối thiểu 1 lần/năm tại các bệnh viện hàng đầu,• Chính sách thăm hỏi toàn diện cho nhân sự và người thân: sinh nhật, kết hôn, sinh con, ốm đau,…,• Các hoạt động thể thao, văn hóa đa dạng và phong phú: CLB đá bóng, đạp xe, cầu lông,… ,• Phụ cấp đứng lớp, cùng các giải thưởng Đào tạo: Ngôi sao học tập tháng, Gương mặt giảng viên tiêu biểu, gương mặt học tập năm, nhuận bút…"
Java Developer,Công ty TNHH phần mềm Kaopiz," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Java,Spring,Spring Boot","Tham gia các dự án sử dụng ngôn ngữ lập trình Java cùng framework SpringBoot và các công nghệ liên quan cho các khách hàng đến từ Nhật Bản.,Phân tích thiết kế và lập trình chức năng của các website.,Chấp nhận sinh viên mới tốt nghiệp.,Tốt nghiệp đại học chuyên ngành IT ,Thao tác tốt với HTML, CSS, JavaScript (Jquery, Ajax), Bootstrap, JSON, XML là lợi thế.   ,Có ít nhất 1 năm kinh nghiệm làm việc với Strust, Spring, Hibernate, VueJS   ,Có tư duy và giải thuật tốt   ,Có kinh nghiệm làm việc với AWS là một lợi thế   ,Hiểu biết về MVC Framework, ORM, RESTful, OOP, Design Pattern   ,Có kinh nghiệm làm việc với MySQL hoặc NoSQL (MongoDB)   ,Thành thạo các công cụ quản lý mã nguồn: GIT, SVN   ,Ưu tiên có kinh nghiệm làm việc với GWT, Java + Apache + struts2 + hibernate(HQL)   ,Viết code rõ ràng, dễ hiểu, dễ maintain, tuân thủ chặt chẽ convention ,Tương tác với nhiều resources, nhiều dạng database là lợi thế.  ,Viết SQL tối ưu, không bị SQL Injection là lợi thế ,Thiết kế database phù hợp yêu cầu, tối ưu cho performance,Mức lương khởi điểm hấp dẫn, cạnh tranh, tương xứng với năng lực và kinh nghiệm làm việc; ,Thu nhập: 13 tháng lương/năm + thưởng dự án, thưởng Tết và các dịp lễ…; ,Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc; ,Lương làm thêm giờ theo luật lao động, hỗ trợ đồ ăn OT theo quy định công ty; ,Làm việc từ thứ 2 - thứ 6 (8h30 - 17h30); ,Được tham gia BHXH, BHYT, BHTN theo quy định của pháp luật hiện hành; ,Bảo hiểm chăm sóc sức khỏe 24/24 (Bảo Việt); ,Khám sức khỏe định kỳ 1 năm/1 lần tại bệnh viện Đại học Y Hà Nội; ,Nghỉ ốm hưởng nguyên lương tối đa 30 ngày/ năm (có giấy chứng nhận của bệnh viện); ,Trợ cấp tiếng Nhật và các chứng chỉ IT liên quan (từ 1000.000 VNĐ - 2.500.000 VNĐ/tháng); ,Phụ cấp thâm niên; phụ cấp chức vụ; ,Được tham gia các câu lạc bộ của công ty: CLB Bóng đá, CLB Game, CLB Beauty,  CLB Dance... ,Được tham gia các hoạt động tập thể sôi động của công ty: nghỉ mát hàng năm, teambuilding hàng quý, gala cuối năm…,Tham gia các khóa học nâng cao trình độ chuyên môn qua Portal đào tạo nội bộ hoặc các khóa học trực tiếp với các giảng viên uy tín.  ,Cơ hội làm việc và đào tạo tại Nhật Bản với các ứng viên có tiếng Nhật ,Làm việc trong môi trường chuyên nghiệp, được hỗ trợ phát huy khả năng, phát triển công việc tối đa."
Backend Developer,CÔNG TY TNHH PETER & VIỆT NAM," Hạn nộp hồ sơ: 20/01/2023
","
Thoả thuận
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hồ Chí Minh,Quận 1",,"• Thảo luận về mục tiêu của dự án với khách hàng và nhóm phát triển.,• Thiết kế và xây dựng các ứng dụng web bằng Laravel.,• Khắc phục sự cố trong quá trình triển khai và gỡ lỗi bản dựng.,• Làm việc với các nhà phát triển front-end và back-end trong các dự án.,• Kiểm tra chức năng cho người dùng và chương trình phụ trợ.,• Đảm bảo rằng các tích hợp chạy trơn tru.,• Mở rộng dự án dựa trên phản hồi của khách hàng.,• Ghi chép và báo cáo về công việc đã thực hiện trong Laravel.,• Duy trì các ứng dụng dựa trên web.,• Trình bày công việc trong các cuộc họp với khách hàng và quản lý.,• Bằng cấp lập trình, khoa học máy tính hoặc một lĩnh vực liên quan.,• Từ  02 năm kinh nghiệm làm việc với PHP, thực hiện kiểm thử đơn vị và quản lý các API như REST.,• Hiểu biết vững chắc về thiết kế ứng dụng bằng Laravel.,• Có kiến thức về thiết kế cơ sở dữ liệu và truy vấn bằng SQL.,• Thành thạo HTML và JavaScript.,• Trải nghiệm thực tế khi sử dụng kiến trúc MVC.,• Danh mục các ứng dụng và chương trình mang tên bạn.,• Kỹ năng giải quyết vấn đề và tư duy phản biện.,• Kỹ năng giao tiếp tuyệt vời.,• Mong muốn và khả năng học hỏi.,• Tiếng Anh giao tiếp cơ bản,• Bảo hiểm xã hội và y tế,• Nghỉ thường niên,• Ăn trưa và phụ cấp gửi xe,• Đào tạo và nâng cao kỹ năng,• Làm việc trong môi trường khởi nghiệp trẻ trung, năng động, thân thiện, khuyến khích phát triển bản thân, đãi ngộ theo quy định của công ty."
Nhân Viên IT,Công ty CPXD&PTHT Tây Hồ," Hạn nộp hồ sơ: 30/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,"Vĩnh Phúc,TP Vĩnh Yên",,"Chịu trách nhiệm giám sát hoạt động phòng CNTT của khách sạn,Kịp thời xử lý những sự cố để đảm bảo hệ thống luôn hoạt động liên tục hiệu quả,Kiểm tra hoạt động hàng ngày của hệ thống hạ tầng CNTT của khách sạn : hệ thống mạng LAN, hệ thống wifi-internet, hệ thống khóa từ, ti vi, máy chủ ứng dụng, tổng đài nội bộ.,Trong quá trình kiểm tra hệ thống hạ tầng CNTT nếu phát hiện sự cố phải tiến hành xử lý ngay để không làm ảnh hưởng đến hoạt động của khách sạn,Thực hiện việc hướng dẫn, hỗ trợ vận hành hệ thống phần mềm nghiệp vụ cho nhân viên các bộ phận trong khách sạn : SMILE FO, POS, HR, BO, Purchasing,…,Tiếp nhận thông tin phản hồi về sự cố của các phần mềm từ nhân viên các bộ phận và tiến hành xử lý nhanh chóng,Thực hiện việc điều phối và hỗ trợ khách hàng xử lý các vấn đề về công nghệ thông tin,Chủ động tìm kiếm những ý tưởng cải tiến hoạt động của hệ thống phần mềm khách sạn,Làm các báo cáo công việc định kỳ hay có chỉ thị của cấp trên,Thực hiện các công việc khác khi được cấp trên giao phó.,: Cao đẳng hoặc tương đương, Công nghệ thông tin hoặc ngành tương đương ,: Không yêu cầu,Tối thiểu 01 năm kinh nghiệm,: Nắm vững kiến thức về công nghệ thông tin,Nắm được quy trình hoạt động của các phần mềm của Khách sạn.,: Thành thạo trong việc cài đặt, vận hành hệ thống phần mềm Khách sạn.,Kỹ năng giao tiếp, truyền đạt thông tin.,Khả năng làm việc độc lập và làm việc nhóm.,Mức lương tương xứng năng lực,Môi trường dịch vụ chuyên nghiệp, năng động, thân thiện, không chất độc hại ,Chế độ BHXH đầy đủ theo quy định ,Hỗ trợ ăn ca ngoài lương,Thưởng các dịp lễ, tết ,Chế độ xét lương hàng năm ,Hỗ trợ 1 bữa ăn/ ca làm việc, có chỗ ở cho nhân viên ở xa ,Công đoàn, sinh nhật hàng tháng..."
Developer,Công ty Cổ phần Công nghệ Vinova," Hạn nộp hồ sơ: 20/01/2023
","
Thoả thuận
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Đống Đa,Đà Nẵng,Sơn Trà,Hồ Chí Minh,Gò Vấp",".NET,English","Participate in requirements analysis,Collaborate with internal teams to produce software design and architecture,Write clean, scalable code using .NET programming languages,Test and deploy applications and systems,Revise, update, refactor and debug code,Improve existing software,Develop documentation throughout the software development life cycle (SDLC),Serve as an expert on applications and provide technical support,At least 1 year of experience in ASP.NET Developer,Familiarity with the ASP.NET framework, SQL Server, MySQL and design/architectural patterns (e.g. Model-View-Controller (MVC)),Knowledge of at least one of the .NET languages (e.g, ASP .NET) and HTML5/CSS3,Experienced with .NET core,Familiarity with architecture styles/APIs (REST, RPC),Familiarity with development tools: Git/SVN, Redmine, Visual Studio, Eclipse, NetBeans, Vagrant, etc.,Aggressive problem diagnosis and creative problem-solving skills.,Intermediate English skills.,BSc/BA in Computer Science, Engineering or a related field,Nice and friendly working environment.,Competitive salary with multiple bonus scheme,Lots of interesting and challenging projects to work on.,13th-month salary benefits,Chance to work onsite abroad,We have a fun, Silicon Valley-style startup culture that values openness, fun, and awesomeness.,Attractive salary and annual salary review.,Provide devices for work.,Chance to become the leader of startup culture.,A fun, awesome work environment with multiple exciting bonus scheme,Progressive and international working environment.,Exciting company activities.,Free in-house entertainment facilities (football), coffee, and snack (instant noodles, cookies, candies…)"
Backend Developer,Splus Software," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hồ Chí Minh,Tân Bình",,"Developing projects for Japanese and domestic customers.,Build a ticketing system, and optimize data,Read and understand detailed design, edit system functions existing systems, and develop new functions,The system that works with the WinForms app is vb.net and java web,Bachelor’s degree in Computer Science Engineering or other related courses.,At least 6 Month of experience working with dotNET (Winforms app), Java Web,Experience working with Postgresql databases, ability to write complex queries and optimize them,Proficiency with code versioning tools including Git, Github, SVN,Strong knowledge of front-end technologies including HTML5, JavaScript, and CSS3,Good problem-solving skills,Willing to work hard and learn new technologies,Having Japanese (equivalent to N3) or English is advanced,Working in a dynamic and professional environment with many opportunities for advancement.,The company provides equipment such as LAPTOP, Phones to serve the working needs of all employees.,The company pays all costs of social insurance, health insurance, and unemployment insurance for employees.,Join Health and Accident Insurance package 24/7 (according to seniority). Enjoy benefits according to seniority.,Being trained in foreign languages, and sponsored to study certificates to improve professional skills and soft skills.,Opportunity to go Onsite at SPLUS JAPAN (requires Japanese level of N3 or higher),Performance evaluation: 2 times/year,Clubs: Football, Music, …,Annual company trip, quarterly teambuilding, employee birthdays in the month, and special events of the year (8/3, 20/10, Mid-Autumn Festival, Christmas...),Annual leave: 12 vacation days, 11 holidays a year."
Tester,Công ty TNHH City Ascom Việt Nam," Hạn nộp hồ sơ: 31/03/2023
","
Tới 20 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Đống Đa","test cases,QC/QA,Automation Test,JLPT N3","Nghiên cứu yêu cầu và thiết kế của sản phẩm / dự án,Xây dựng kế hoạch và kịch bản kiểm thử, chuẩn bị dữ liệu test,Test các sản phẩm hoặc dự án phần mềm, phối hợp với các team và phòng ban khác đảm bảo chất lượng của sản phẩm / dự án,Nắm bắt và hỗ trợ công việc kiểm soát đánh giá thực hiện quy trình phát triển phần mềm, đánh giá chất lượng sản phẩm trước khi triển khai chính thức,Thực hiện các công việc khác theo phân công của quản lý trực tiếp,Thưởng tối đa 3 lần/năm. ,Xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc.,Trợ cấp ngoại ngữ hàng tháng (tiếng Nhật từ N4 trở lên, tiếng Anh Toeic từ 600 điểm trở lên).,Trợ cấp gia đình (vợ/chồng/con) hàng tháng.,Trợ cấp chức vụ hàng tháng từ Team leader trở lên.,Thưởng thành tích kinh doanh 1 năm/1 lần tùy tình hình kinh doanh của công ty.,Tham gia bảo hiểm xã hội trên 100% lương Gross. Đảm bảo về già bạn có lương hưu cao.,Khám sức khỏe định kỳ 1 năm/1 lần.,Ngày phép: 12 ngày/năm. ,Chế độ du lịch hàng năm và tham gia các hoạt động teambuilding, party liên hoan Công ty thường xuyên.,Nếu bạn chưa có kinh nghiệm, chúng tôi sẵn sàng đào tạo.,Được tiếp xúc nhiều công nghệ phong phú giúp bạn trưởng thành nhanh trong môi trường chuyên nghiệp.,Văn phòng đẹp như mơ, được đặt tại khu vực tiện lợi, có hầm đỗ xe, phòng ăn trưa, nghỉ trưa.,Đặc biệt có chương trình Giao Lưu Việt Nhật, hàng năm có nhân viên VN sang công ty mẹ ở Nhật làm việc và ngược lại."
